date,ticker,predicted_close,lower_band,upper_band,source
2026-01-01,AMD,462.0113356480255,443.5308822221045,480.49178907394656,research_only_stub
2026-01-02,AMD,464.8435199256658,446.24977912863915,483.4372607226925,research_only_stub
2026-01-05,AMD,467.10849916274356,448.4241591962338,485.7928391292533,research_only_stub
2026-01-06,AMD,468.70110324422785,449.9530591144587,487.449147373997,research_only_stub
2026-01-07,AMD,469.68078294308015,450.8935516253569,488.4680142608034,research_only_stub
2026-01-08,AMD,470.25705429761575,451.4467721257111,489.0673364695204,research_only_stub
2026-01-09,AMD,470.73820177819607,451.9086737070682,489.56772984932394,research_only_stub
2026-01-12,AMD,471.4557994970883,452.59756751720477,490.3140314769719,research_only_stub
2026-01-13,AMD,472.6835303017303,453.77618908966105,491.5908715137995,research_only_stub
2026-01-14,AMD,474.57017866865505,455.58737152190884,493.55298581540126,research_only_stub
2026-01-01,ARM,81.40650199336464,78.15024191363005,84.66276207309923,research_only_stub
2026-01-02,ARM,81.90553350461515,78.62931216443054,85.18175484479976,research_only_stub
2026-01-05,ARM,82.30462335923848,79.01243842486893,85.59680829360802,research_only_stub
2026-01-06,ARM,82.58524055914363,79.28183093677788,85.88865018150938,research_only_stub
2026-01-07,ARM,82.75786034399289,79.44754593023318,86.0681747577526,research_only_stub
2026-01-08,ARM,82.85939948719577,79.54502350770794,86.17377546668361,research_only_stub
2026-01-09,ARM,82.94417778226081,79.62641067097037,86.26194489355125,research_only_stub
2026-01-12,ARM,83.07061866287579,79.74779391636075,86.39344340939083,research_only_stub
2026-01-13,ARM,83.2869451087523,79.9554673044022,86.6184229131024,research_only_stub
2026-01-14,ARM,83.61937297835732,80.27459805922302,86.96414789749161,research_only_stub
2026-01-01,AVGO,1860.2967238362762,1785.884854882825,1934.7085927897274,research_only_stub
2026-01-02,AVGO,1871.7005633667604,1796.83254083209,1946.5685859014309,research_only_stub
2026-01-05,AVGO,1880.8205418806706,1805.5877202054437,1956.0533635558975,research_only_stub
2026-01-06,AVGO,1887.2331900703475,1811.7438624675335,1962.7225176731615,research_only_stub
2026-01-07,AVGO,1891.1778875129494,1815.5307720124313,1966.8250030134675,research_only_stub
2026-01-08,AVGO,1893.4982542013113,1817.7583240332588,1969.2381843693638,research_only_stub
2026-01-09,AVGO,1895.43560294742,1819.618178829523,1971.253027065317,research_only_stub
2026-01-12,AVGO,1898.325022713745,1822.392021805195,1974.258023622295,research_only_stub
2026-01-13,AVGO,1903.2685022723683,1827.1377621814736,1979.399242363263,research_only_stub
2026-01-14,AVGO,1910.8651249203783,1834.4305199235632,1987.2997299171934,research_only_stub
2026-01-01,CRWV,25.822227993842844,24.78933887408913,26.85511711359656,research_only_stub
2026-01-02,CRWV,25.980521313713936,24.941300461165376,27.019742166262496,research_only_stub
2026-01-05,CRWV,26.10711303506014,25.062828513657735,27.15139755646255,research_only_stub
2026-01-06,CRWV,26.196125105810157,25.14828010157775,27.243970110042564,research_only_stub
2026-01-07,CRWV,26.25088028299476,25.20084507167497,27.300915494314552,research_only_stub
2026-01-08,CRWV,26.28308860594049,25.231765061702866,27.33441215017811,research_only_stub
2026-01-09,CRWV,26.309980370240563,25.25758115543094,27.362379585050185,research_only_stub
2026-01-12,CRWV,26.350087550466146,25.2960840484475,27.40409105248479,research_only_stub
2026-01-13,CRWV,26.418706526466078,25.361958265407434,27.475454787524722,research_only_stub
2026-01-14,CRWV,26.52415299610001,25.46318687625601,27.58511911594401,research_only_stub
2026-01-01,NVDA,1829.2912898948025,1756.1196382990104,1902.4629414905946,research_only_stub
2026-01-02,NVDA,1840.5050624382782,1766.884859940747,1914.1252649358094,research_only_stub
2026-01-05,NVDA,1849.473038915235,1775.4941173586255,1923.4519604718446,research_only_stub
2026-01-06,NVDA,1855.778807951018,1781.5476556329772,1930.0099602690589,research_only_stub
2026-01-07,NVDA,1859.6577594003015,1785.2714490242895,1934.0440697763136,research_only_stub
2026-01-08,NVDA,1861.939452701158,1787.4618745931116,1936.4170308092043,research_only_stub
2026-01-09,NVDA,1863.8445117927188,1789.29073132101,1938.3982922644275,research_only_stub
2026-01-12,NVDA,1866.68577380413,1792.0183428519647,1941.353204756295,research_only_stub
2026-01-13,NVDA,1871.546860738538,1796.6849863089965,1946.4087351680796,research_only_stub
2026-01-14,NVDA,1879.0168710140845,1803.856196173521,1954.1775458546479,research_only_stub
