datetime,symbol,open,high,low,close,volume
2026-05-01 00:00:00,BTC-USD,105000.0,105391.8396299908,104754.08273955129,105001.54999323042,109014
2026-05-01 01:00:00,BTC-USD,105001.54999323042,105066.65602244194,104104.65782823262,104433.03127099956,297478
2026-05-01 02:00:00,BTC-USD,104433.03127099956,104590.81498573472,103391.36804886251,103824.90147954358,191108
2026-05-01 03:00:00,BTC-USD,103824.90147954358,104048.94289043847,103520.71573730977,103969.21132551451,222545
2026-05-01 04:00:00,BTC-USD,103969.21132551451,104166.9318800539,102149.54452619242,102309.4474990913,91099
2026-05-01 05:00:00,BTC-USD,102309.4474990913,102558.65093663133,100065.43203923039,100069.62210996292,183885
2026-05-01 06:00:00,BTC-USD,100069.62210996292,100538.7010430619,99765.38811260468,100282.84283425796,127719
2026-05-01 07:00:00,BTC-USD,100282.84283425796,100610.96243612493,100186.27704887424,100253.68018834054,131269
2026-05-01 08:00:00,BTC-USD,100253.68018834054,100359.82784508365,98560.14906401333,99109.82769855561,113165
2026-05-01 09:00:00,BTC-USD,99109.82769855561,99617.52132735057,98949.7089082557,99108.21852570477,154775
2026-05-01 10:00:00,BTC-USD,99108.21852570477,99593.79562768043,99102.28531144955,99280.75583356427,168427
2026-05-01 11:00:00,BTC-USD,99280.75583356427,101016.93150493974,98778.14517530262,100944.94289878049,171735
2026-05-01 12:00:00,BTC-USD,100944.94289878049,101732.41436918317,99734.14787879612,100218.14371805314,94875
2026-05-01 13:00:00,BTC-USD,100218.14371805314,100801.74003933476,99962.89583290649,100361.74861343614,221307
2026-05-01 14:00:00,BTC-USD,100361.74861343614,100823.55257598856,99692.37715094836,100339.81521506429,120084
2026-05-01 15:00:00,BTC-USD,100339.81521506429,100836.69675582892,100008.14755614281,100646.66962197713,95393
2026-05-01 16:00:00,BTC-USD,100646.66962197713,100901.21809982862,99497.78594729456,100013.55920185403,272488
2026-05-01 17:00:00,BTC-USD,100013.55920185403,100122.8598523037,98046.89047992318,98495.29703846635,66397
2026-05-01 18:00:00,BTC-USD,98495.29703846635,98767.78539844134,97431.1847364866,98020.96077669915,221955
2026-05-01 19:00:00,BTC-USD,98020.96077669915,98228.3160672081,97478.31306312207,97712.7779065921,323058
2026-05-01 20:00:00,BTC-USD,97712.7779065921,97934.699949889,96917.07695820114,97291.28001827991,154145
2026-05-01 21:00:00,BTC-USD,97291.28001827991,97323.02021421443,96856.13116433324,97144.87959922994,133304
2026-05-01 22:00:00,BTC-USD,97144.87959922994,99042.26005877156,96859.07398854171,98591.94996332972,219865
2026-05-01 23:00:00,BTC-USD,98591.94996332972,99136.68066750401,97989.15977805675,98282.73434046925,211614
2026-05-02 00:00:00,BTC-USD,98282.73434046925,98659.3569350388,96754.87364398922,96856.73689415332,65127
2026-05-02 01:00:00,BTC-USD,96856.73689415332,96938.11338120468,96273.88669246635,96601.72655207015,446922
2026-05-02 02:00:00,BTC-USD,96601.72655207015,96746.87406519458,95405.55122120277,95739.96800656163,203181
2026-05-02 03:00:00,BTC-USD,95739.96800656163,95979.87007882925,95194.32718494722,95642.499433939,205655
2026-05-02 04:00:00,BTC-USD,95642.499433939,95911.25149411066,94273.2275776202,94564.93092657502,101263
2026-05-02 05:00:00,BTC-USD,94564.93092657502,95060.35091826579,94060.61992317882,94970.99228854696,177501
